"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"R1,""0603_ReflowSoldering_RES"",""-965mil"",""970mil"",""-965mil"",""970mil"",""-938.6mil"",""970mil"",""B"",""180.00"",""RES_0603_1%_100PPM_47K"""
"R2,""0603_ReflowSoldering_RES"",""-1087.5mil"",""1050mil"",""-1087.5mil"",""1050mil"",""-1061.1mil"",""1050mil"",""B"",""180.00"",""RES_0603_1%_100PPM_47K"""
"R3,""0603_ReflowSoldering_RES"",""-670mil"",""1675mil"",""-670mil"",""1675mil"",""-670mil"",""1701.4mil"",""B"",""270.00"",""RES_0603_1%_100PPM_10K"""
"R4,""0603_ReflowSoldering_RES"",""-775mil"",""1762.5mil"",""-775mil"",""1762.5mil"",""-748.6mil"",""1762.5mil"",""B"",""180.00"",""RES_0603_1%_100PPM_10K"""
"R5,""0603_ReflowSoldering_RES"",""-875mil"",""1650mil"",""-875mil"",""1650mil"",""-875mil"",""1676.4mil"",""B"",""270.00"",""RES_0603_1%_100PPM_71.5K"""
"R6,""0603_ReflowSoldering_RES"",""-2149mil"",""1801mil"",""-2149mil"",""1801mil"",""-2175.4mil"",""1801mil"",""B"",""360.00"",""RES_0603_1%_100PPM_120R"""
"R7,""0603_ReflowSoldering_RES"",""-2275mil"",""1737.5mil"",""-2275mil"",""1737.5mil"",""-2275mil"",""1711.1mil"",""B"",""90.00"",""RES_0603_1%_100PPM_180R"""
"R8,""0603_ReflowSoldering_RES"",""-2275mil"",""1612.5mil"",""-2275mil"",""1612.5mil"",""-2275mil"",""1586.1mil"",""B"",""90.00"",""RES_0603_1%_100PPM_180R"""
"R9,""0603_ReflowSoldering_RES"",""-975mil"",""1393.75mil"",""-975mil"",""1393.75mil"",""-948.6mil"",""1393.75mil"",""B"",""180.00"",""RES_0603_1%_100PPM_120R"""
"R10,""0603_ReflowSoldering_RES"",""-750mil"",""1300mil"",""-750mil"",""1300mil"",""-750mil"",""1273.6mil"",""B"",""90.00"",""RES_0603_1%_100PPM_180R"""
"R12,""0603_ReflowSoldering_RES"",""-250mil"",""1280mil"",""-250mil"",""1280mil"",""-250mil"",""1253.6mil"",""B"",""90.00"",""RES_0603_1%_100PPM_12R"""
"R13,""0603_ReflowSoldering_RES"",""-1975mil"",""1030mil"",""-1975mil"",""1030mil"",""-1948.6mil"",""1030mil"",""B"",""180.00"",""RES_0603_1%_100PPM_0R"""
"R14,""0603_ReflowSoldering_RES"",""-1795mil"",""960mil"",""-1795mil"",""960mil"",""-1821.4mil"",""960mil"",""B"",""360.00"",""RES_0603_1%_100PPM_82K"""
"R15,""0603_ReflowSoldering_RES"",""-1668.75mil"",""1181.25mil"",""-1668.75mil"",""1181.25mil"",""-1642.35mil"",""1181.25mil"",""B"",""180.00"",""RES_0603_1%_100PPM_2.2K"""
"R16,""0603_ReflowSoldering_RES"",""-1668.75mil"",""1106.25mil"",""-1668.75mil"",""1106.25mil"",""-1695.15mil"",""1106.25mil"",""B"",""360.00"",""RES_0603_1%_100PPM_4.7K"""
"R17,""0603_ReflowSoldering_RES"",""-1795mil"",""1030mil"",""-1795mil"",""1030mil"",""-1768.6mil"",""1030mil"",""B"",""180.00"",""RES_0603_1%_100PPM_4.7K"""
"R19,""0603_ReflowSoldering_RES"",""-2040mil"",""1370mil"",""-2040mil"",""1370mil"",""-2013.6mil"",""1370mil"",""B"",""180.00"",""RES_0603_1%_100PPM_2.2K"""
"R22,""0603_ReflowSoldering_RES"",""-1525mil"",""637.5mil"",""-1525mil"",""637.5mil"",""-1498.6mil"",""637.5mil"",""B"",""180.00"",""RES_0603_1%_100PPM_2.2K"""
"R23,""0603_ReflowSoldering_RES"",""165mil"",""800mil"",""165mil"",""800mil"",""138.6mil"",""800mil"",""B"",""360.00"",""RES_0603_1%_100PPM_470R"""
"R24,""0603_ReflowSoldering_RES"",""-165mil"",""825mil"",""-165mil"",""825mil"",""-138.6mil"",""825mil"",""B"",""180.00"",""RES_0603_1%_100PPM_470R"""
"R25,""0603_ReflowSoldering_RES"",""-515mil"",""1325mil"",""-515mil"",""1325mil"",""-515mil"",""1298.6mil"",""B"",""90.00"",""RES_0603_1%_100PPM_215R"""
"R26,""0603_ReflowSoldering_RES"",""137.5mil"",""1025mil"",""137.5mil"",""1025mil"",""137.5mil"",""998.6mil"",""B"",""90.00"",""RES_0603_1%_100PPM_10K"""
"R27,""0603_ReflowSoldering_RES"",""-165mil"",""900mil"",""-165mil"",""900mil"",""-138.6mil"",""900mil"",""B"",""180.00"",""RES_0603_1%_100PPM_10K"""
"R28,""0603_ReflowSoldering_RES"",""-265mil"",""763.6mil"",""-265mil"",""763.6mil"",""-265mil"",""790mil"",""B"",""270.00"",""RES_0603_1%_100PPM_470R"""
"R29,""0603_ReflowSoldering_RES"",""-206.25mil"",""1187.5mil"",""-206.25mil"",""1187.5mil"",""-179.85mil"",""1187.5mil"",""B"",""180.00"",""RES_0603_1%_100PPM_22K"""
"R30,""0603_ReflowSoldering_RES"",""137.5mil"",""900mil"",""137.5mil"",""900mil"",""137.5mil"",""873.6mil"",""B"",""90.00"",""RES_0603_1%_100PPM_4.7K"""
"R31,""0603_ReflowSoldering_RES"",""-387.5mil"",""987.5mil"",""-387.5mil"",""987.5mil"",""-387.5mil"",""961.1mil"",""B"",""90.00"",""RES_0603_1%_100PPM_18K"""
"R32,""0603_ReflowSoldering_RES"",""-475mil"",""87.5mil"",""-475mil"",""87.5mil"",""-501.4mil"",""87.5mil"",""B"",""360.00"",""RES_0603_1%_100PPM_4.7K"""
"R101,""0603_ReflowSoldering_RES"",""-1262.5mil"",""1207.65mil"",""-1262.5mil"",""1207.65mil"",""-1262.5mil"",""1181.25mil"",""B"",""90.00"",""RES_0603_1%_100PPM_0R"""
"R104,""0603_ReflowSoldering_RES"",""-1325mil"",""1207.65mil"",""-1325mil"",""1207.65mil"",""-1325mil"",""1234.05mil"",""B"",""270.00"",""RES_0603_1%_100PPM_0R"""
"R105,""0603_ReflowSoldering_RES"",""-1318.75mil"",""1045.15mil"",""-1318.75mil"",""1045.15mil"",""-1318.75mil"",""1018.75mil"",""B"",""90.00"",""RES_0603_1%_100PPM_0R"""
"R108,""0603_ReflowSoldering_RES"",""-1268.75mil"",""1045.15mil"",""-1268.75mil"",""1045.15mil"",""-1268.75mil"",""1071.55mil"",""B"",""270.00"",""RES_0603_1%_100PPM_0R"""
"R109,""0603_ReflowSoldering_RES"",""-1400mil"",""1218.75mil"",""-1400mil"",""1218.75mil"",""-1400mil"",""1192.35mil"",""B"",""90.00"",""RES_0603_1%_100PPM_0R"""
"R111,""0603_ReflowSoldering_RES"",""-1287.5mil"",""837.5mil"",""-1287.5mil"",""837.5mil"",""-1313.9mil"",""837.5mil"",""B"",""360.00"",""RES_0603_1%_100PPM_0R"""
"R121,""0603_ReflowSoldering_RES"",""-1523.6mil"",""1162.5mil"",""-1523.6mil"",""1162.5mil"",""-1550mil"",""1162.5mil"",""B"",""360.00"",""RES_0603_1%_100PPM_180R"""
"R123,""0603_ReflowSoldering_RES"",""-1525mil"",""1012.5mil"",""-1525mil"",""1012.5mil"",""-1551.4mil"",""1012.5mil"",""B"",""360.00"",""RES_0603_1%_100PPM_180R"""
"R125,""0603_ReflowSoldering_RES"",""-1525mil"",""937.5mil"",""-1525mil"",""937.5mil"",""-1551.4mil"",""937.5mil"",""B"",""360.00"",""RES_0603_1%_100PPM_180R"""
"R127,""0603_ReflowSoldering_RES"",""-1525mil"",""712.5mil"",""-1525mil"",""712.5mil"",""-1551.4mil"",""712.5mil"",""B"",""360.00"",""RES_0603_1%_100PPM_180R"""
"SPK1,""SPEAKER_15x15MM_NDT-03C_SMS1313-08H04LF"",""-1960.434mil"",""353.15mil"",""-1960.434mil"",""333.465mil"",""-2245.867mil"",""550mil"",""B"",""360.00"",""SPEAKER_8R_0.5W_NDT-03C"""
"T1,""SOT23_3L_ReflowSoldering"",""-1660mil"",""740mil"",""-1660mil"",""740mil"",""-1703.308mil"",""701.614mil"",""B"",""180.00"",""BC847C"""
